participant,state,file,window_id,window_start_sec,window_end_sec,duration_file_sec,n_peaks_total,synthetic,HR_mean,HR_min,HR_max,RR_mean,RR_median,SDNN,RMSSD,pNN50,NN_count,ECG_mean,ECG_std,ECG_rms,ECG_ptp,ECG_energy,ECG_skew,ECG_kurtosis,HR_mean_delta_basal,HR_mean_ratio_basal,RR_mean_delta_basal,RR_mean_ratio_basal,SDNN_delta_basal,SDNN_ratio_basal,RMSSD_delta_basal,RMSSD_ratio_basal,pNN50_delta_basal,pNN50_ratio_basal
P02,cognitivo,P02_cognitiva_ECGv2.h5.txt,11,150.0,180.0,263.4,363,False,84.56550287846973,74.16563658838095,100.3344481605329,714.7073170731708,724.9999999999943,60.483156292657675,24.022905735989088,5.0,41,-0.00011461819090293186,0.9984394826706405,0.9984394892495719,8.788495326706787,0.996881413692946,1.2885831444059173,7.41867503693809,6.055564932222595,1.0771311898930378,-50.79331651375094,0.9336469307990671,34.26316991252348,2.3067577311360954,2.336771813562528,1.1077541908539987,3.8420553517506426,4.317995689655173
P02,cognitivo,P02_cognitiva_ECGv2.h5.txt,12,165.0,195.0,263.4,363,False,84.63525287833397,74.81296758104808,100.3344481605329,713.9024390243898,723.0000000000132,58.9634653315297,25.180845895244797,5.0,41,-0.0002951214887629541,1.0183411933388522,1.0183412361028552,8.818868496611323,1.037018873147491,1.3180681213684693,7.440425481460865,6.125314932086837,1.0780196124505999,-51.598194562531944,0.9325954907172875,32.7434789513955,2.248798472916214,3.494711972818237,1.1611496076395713,3.8420553517506426,4.317995689655173
P02,cognitivo,P02_cognitiva_ECGv2.h5.txt,13,180.0,210.0,263.4,363,False,85.04105839630563,74.81296758104808,94.33962264151008,708.2380952380955,695.0000000000216,44.90630328063326,21.722754171158083,2.4390243902439024,42,0.001528632130669082,1.0200800464589186,1.0200811918175046,8.553412496551534,1.0405656378998205,1.2855373655836437,6.996895757124902,6.531120450058495,1.0831884551294655,-57.26253834882618,0.9251959621763995,18.68631690049907,1.7126745464161235,0.036620248731523475,1.0016886480947926,1.281079741994545,2.106339360807401
P02,cognitivo,P02_cognitiva_ECGv2.h5.txt,14,195.0,225.0,263.4,363,False,86.9611064563895,80.97165991902993,94.33962264151008,690.7857142857143,692.4999999999955,24.010704639436984,18.71154593345258,0.0,42,0.00033009226309903435,0.9892570137574054,0.9892570688294937,8.055677644772693,0.9786295482291217,1.2410113772753053,6.694361288837923,8.451168510142367,1.107644569989707,-74.71491930120737,0.9023973122646363,-2.2092817406972074,0.9157405458314392,-2.9745879889739797,0.8628345651827857,-1.1579446482493574,0.0
P02,cognitivo,P02_cognitiva_ECGv2.h5.txt,15,210.0,240.0,263.4,363,False,85.039769402495,80.6451612903226,90.77155824508301,706.1707317073171,705.0000000000125,21.070005266995526,19.449293046280687,0.0,41,-0.0015592755227988235,0.9689269252092474,0.9689281798645359,8.055677644772693,0.9388218177356026,1.2453049257184947,6.86352671061165,6.529831456247862,1.0831720369046605,-59.32990187960456,0.9224952935680781,-5.149981113138665,0.8035856678766014,-2.236840876145873,0.8968538659704273,-1.1579446482493574,0.0
P02,cognitivo,P02_cognitiva_ECGv2.h5.txt,16,225.0,255.0,263.4,363,False,84.32186488004872,80.21390374331348,91.1854103343483,712.1951219512191,712.9999999999939,21.3684574925261,20.787616505992048,2.5,41,-0.0001745953350331849,0.9920223949594298,0.9920224103237657,8.481503013964893,0.9841084625845737,1.3015663867980571,7.089052681118973,5.811926933801587,1.0740279139919942,-53.3055116357026,0.9303651632710898,-4.85152888760809,0.8149682910863792,-0.8985174164345118,0.958567192305987,1.3420553517506426,2.1589978448275864
P02,recuperacion,P02_recuperacion_ECGv2.txt.txt,1,0.0,30.0,302.7,390,False,79.86113001062061,66.1521499448732,116.50485436893192,762.9230769230769,785.0000000000001,87.96781247927366,81.61865756772683,28.947368421052634,39,-0.00021028860091028482,1.263152876926932,1.2631528944312644,19.23478191528696,1.595555234710081,1.093073847159764,9.247572697285127,1.3511920643734783,1.0172104589523252,-2.5775566638448026,0.9966328484252625,61.74782609913947,3.3549907770327168,59.932523645300265,3.7636333824961525,27.789423772803275,24.998922413793107
P02,recuperacion,P02_recuperacion_ECGv2.txt.txt,2,15.0,45.0,302.7,390,False,73.3611732750304,66.1521499448732,79.68127490039839,819.4444444444443,812.0000000000002,36.66796534496661,33.87034100802589,17.142857142857142,36,0.00011248847747729912,0.958461072585908,0.9584610791869365,8.159152621492577,0.9186476403161868,1.7978032006152271,9.193279853023105,-5.148764671216739,0.9344189435642923,53.943810857522635,1.0704686691175642,10.44797896483242,1.398473851715973,12.18420708559933,1.5618432095450225,15.984912494607785,14.804556650246305
P02,recuperacion,P02_recuperacion_ECGv2.txt.txt,3,30.0,60.0,302.7,390,False,76.31467527722575,70.17543859649149,84.38818565400861,788.3783783783784,791.0000000000039,41.755472928941124,23.332738087646003,2.7777777777777777,37,-4.5632803220895855e-05,0.9565565834597869,0.95655658454825,7.718625888323667,0.9150004994426134,1.755034346991769,8.732489494589982,-2.195262669021389,0.9720384103408105,22.877744791456735,1.0298859906676472,15.535486548806933,1.592505515585528,1.6466041652194434,1.075928894062423,1.6198331295284203,2.3988864942528734
P02,recuperacion,P02_recuperacion_ECGv2.txt.txt,4,45.0,75.0,302.7,390,False,78.26158030569195,72.99270072992803,84.38818565400861,767.7105263157897,767.4999999999983,28.77302405429455,22.38182177450936,2.7027027027027026,38,0.00042900526802158804,0.9636189516474959,0.9636190471445338,7.70520481572827,0.9285616680197393,1.7265514479299873,8.302581185461245,-0.2483576405551844,0.9968366088796908,2.209892728867999,1.0028868594380034,2.5530376741603575,1.0973699084792312,0.6956878520827985,1.0320798467154793,1.5447580544533452,2.334051724137931
