condition,channel,epoch,start_s,end_s,total_0p5_45,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel
basal_ojos_cerrados,Fp1,11,22.0,24.0,12384.274995137805,1403.7543369480313,0.11334973888250705,1651.3521210002773,0.13334265604152162,2614.615196404402,0.2111237999342656,5046.680058603089,0.4075071056306863,1667.873282182006,0.13467669951101946
basal_ojos_cerrados,Fp1,12,24.0,26.0,18408.878456153823,6181.662383950252,0.3357978813686942,2967.9109970883273,0.16122171723591328,2778.2916391675217,0.15092128756158846,4686.878880530305,0.25459882804340794,1794.1345554174163,0.09746028579039605
basal_ojos_cerrados,Fp1,13,26.0,28.0,14145.373193671277,4438.458230523712,0.313774558631617,2647.1544101670606,0.18713924149780742,2541.375104473924,0.17966122700890988,2705.338214418324,0.19125251609683283,1813.0472340882561,0.12817245676483277
basal_ojos_cerrados,Fp1,14,28.0,30.0,12524.890664209122,4691.036505812742,0.3745371222455262,650.5859259972183,0.05194344153888063,1870.3197090061367,0.14932822642122737,4156.959553364342,0.3318958755658592,1155.9889700286801,0.09229533422850637
basal_ojos_cerrados,Fp1,15,30.0,32.0,191117.31258706615,180974.85418559407,0.9469307188125538,2679.5117777257374,0.014020246211368468,1976.992801135597,0.010344394102103912,4486.184937206751,0.02347346180458145,999.7688854039967,0.00523117906939246
basal_ojos_cerrados,Fp1,16,32.0,34.0,22190.280477649183,9947.26190838232,0.44827112115151246,4864.318968879068,0.21920944053765243,1703.1950853600752,0.0767541035398625,3923.823603854546,0.1768262283934066,1751.6809111731725,0.07893910637756589
basal_ojos_cerrados,Fp1,17,34.0,36.0,25287.98078010217,12366.055030648919,0.4890091912905573,2979.612019393059,0.11782720199382486,3689.742918085663,0.14590895770487672,4373.377515388216,0.17294293100813352,1879.1932965863132,0.0743117180026076
basal_ojos_cerrados,Fp1,18,36.0,38.0,29802.892415045393,20031.673285765428,0.6721385631568042,2418.3730873700724,0.08114558324376614,2322.7833267942406,0.0779381844703647,3652.345519265946,0.12255003535905572,1377.7171958497006,0.0462276337700091
basal_ojos_cerrados,Fp1,19,38.0,40.0,35396.42004115937,28534.524653271616,0.8061415425653594,986.9414918060363,0.027882522883907728,1815.6284747009665,0.0512941272758582,3284.1163062107858,0.09278102990053731,775.2091151699642,0.02190077737433735
basal_ojos_cerrados,Fp1,20,40.0,42.0,71115.37909717498,60608.658758344754,0.8522581124896569,2735.3919869640167,0.038464141254541645,3097.4251085917167,0.04355492648586275,3573.349139926109,0.05024720651553214,1100.5541033483817,0.015475613254406466
basal_ojos_cerrados,Fp1,21,42.0,44.0,19464.21772546736,5628.979951666579,0.2891963104328366,2015.654307805082,0.10355691331831748,3624.2856320185742,0.18620248104173684,6342.959374167534,0.32587795017666105,1852.3384598095886,0.095166345030448
basal_ojos_cerrados,Fp1,22,44.0,46.0,14493.71672850372,7295.619353576061,0.5033642846922975,1024.8473678307591,0.07070976941444342,1855.2253480721392,0.1280020427350843,2448.0974142424548,0.16890749695886928,1869.927244782305,0.1290164061993055
basal_ojos_cerrados,Fp1,23,46.0,48.0,43958.6393596798,34068.58427797265,0.7750145312555191,2102.806371687908,0.04783602045737261,2330.5430495367827,0.05301672398155316,4385.99601115706,0.09977551796519045,1070.7096493254076,0.024357206340364916
basal_ojos_cerrados,Fp1,24,48.0,50.0,10350.603162198882,3221.4691371387084,0.31123491903387196,1658.169064403426,0.16020023552435805,1380.9595596867648,0.1334182692589476,2950.929760049406,0.2850973719895286,1139.0756409205749,0.11004920419329356
