channel,sample,time_s,amplitude_abs_uv,signed_amplitude_uv
Fp1,23658,23.658,1445.1521794829855,1445.1521794829855
Fp1,23911,23.911,103.61312941692745,103.61312941692745
Fp1,24179,24.179,642.1728127743398,-642.1728127743398
Fp1,24452,24.452,904.4343500710011,904.4343500710011
Fp1,24749,24.749,1444.825989502944,-1444.825989502944
Fp1,25011,25.011,757.7536355920645,757.7536355920645
Fp1,25486,25.486,896.5840475071171,896.5840475071171
Fp1,25957,25.957,613.7389342416524,-613.7389342416524
Fp1,26313,26.313,1169.6941850515395,-1169.6941850515395
Fp1,26723,26.723,520.2730560753747,520.2730560753747
Fp1,27029,27.029,874.5864051239387,874.5864051239387
Fp1,27337,27.337,529.7877749553967,-529.7877749553967
Fp1,27665,27.665,1006.1259951843314,-1006.1259951843314
Fp1,27944,27.944,832.3147883821281,832.3147883821281
Fp1,28210,28.21,216.15006442263856,-216.15006442263856
Fp1,28507,28.507,772.3449007364404,-772.3449007364404
Fp1,28827,28.827,590.5553738904829,590.5553738904829
Fp1,29236,29.236,1396.4939762618142,-1396.4939762618142
Fp1,29643,29.643,858.7447412224088,858.7447412224088
Fp1,29992,29.992,564.708572848404,-564.708572848404
Fp1,30270,30.27,1040.7839048024948,-1040.7839048024948
Fp1,30690,30.69,819.0208958330317,819.0208958330317
Fp1,30954,30.954,1072.7393653944885,-1072.7393653944885
Fp2,16,0.016,536.5806894531237,-536.5806894531237
Fp2,468,0.468,1373.9158240311115,1373.9158240311115
Fp2,824,0.824,383.79984860192667,383.79984860192667
Fp2,1125,1.125,1544.2763749051685,-1544.2763749051685
Fp2,1388,1.388,1529.7440136221362,1529.7440136221362
Fp2,1790,1.79,1025.635033423661,-1025.635033423661
Fp2,2190,2.19,623.1038374798007,-623.1038374798007
Fp2,2552,2.552,1422.5870853502543,1422.5870853502543
Fp2,2810,2.81,146.11233941425604,146.11233941425604
Fp2,3072,3.072,1660.1692299340277,-1660.1692299340277
Fp2,3408,3.408,1200.6756284630687,1200.6756284630687
Fp2,3680,3.68,1346.642286004599,-1346.642286004599
Fp2,4101,4.101,2021.635390397223,2021.635390397223
Fp2,4516,4.516,1213.9518236373551,-1213.9518236373551
Fp2,4804,4.804,992.1686883312485,992.1686883312485
Fp2,5058,5.058,1442.7344002295429,1442.7344002295429
Fp2,5540,5.54,1417.442055456314,-1417.442055456314
Fp2,5810,5.81,925.3615334868075,925.3615334868075
Fp2,6336,6.336,1024.2211075303223,1024.2211075303223
Fp2,6645,6.645,586.7022806245124,-586.7022806245124
Fp2,7124,7.124,1320.0309215265304,-1320.0309215265304
