condition,channel,window,t_start_s,t_stop_s,p2p_uv,rms_uv,total_1_45,theta_4_8,rel_theta_4_8,alpha_8_13,rel_alpha_8_13,beta_13_30,rel_beta_13_30,gamma_baja_30_45,rel_gamma_baja_30_45,bad_by_p2p,bad_by_high_freq,bad_window,use_for_clean_analysis
punto_fijo,Fp2,13,26.0,30.0,318.9582532774928,50.33715398196902,2225.7706207273313,282.29014034797837,0.1268280467534127,289.18517762878105,0.12992586699445333,875.4234210907593,0.39331250621175456,369.5726610868163,0.16604256415517263,False,False,False,True
punto_fijo,Fp2,14,28.0,32.0,351.51502968199446,51.878839676400915,2470.514646738435,225.2169148923499,0.09116194279183104,347.6265421307108,0.14071017250986395,1076.5554219348653,0.4357616026912166,529.3792953459599,0.21427895440524694,False,False,False,True
punto_fijo,Fp2,15,30.0,34.0,339.6725076188126,50.677032642180905,2151.9720343692634,170.30232380044134,0.07913779597528853,210.11795471506133,0.09763972363918115,932.6910763502285,0.43341226626283624,521.1734419750911,0.2421841146870877,False,False,False,True
punto_fijo,Fp2,16,32.0,36.0,408.8719654929464,56.8835344097694,3498.0351252477635,415.34515999405687,0.11873670364148738,222.4929084602326,0.06360510986706389,965.9779542588459,0.27614872912130245,364.0644980744671,0.10407685601747085,False,False,False,True
punto_fijo,Fp2,17,34.0,38.0,414.55957298419355,59.03042799932951,2369.7060972508384,309.52252564333844,0.1306164194802149,316.44019641885984,0.13353562991882026,913.6674620426644,0.38556151039263276,502.098818138765,0.21188231684986747,False,False,False,True
punto_fijo,Fp2,18,36.0,40.0,401.86962168652246,54.2728459557206,2738.368890725672,265.4084952494312,0.09692211160750426,346.11739114576613,0.12639545837596938,1138.5716884903504,0.4157846272452457,613.1590781120707,0.22391398039494328,False,False,False,True
punto_fijo,Fp2,19,38.0,42.0,330.0549631224351,53.02269314901395,2689.9983179590654,220.42881425690763,0.08194384836052598,220.33267607345238,0.0819081092365223,1383.2759324178894,0.5142292927035723,592.5356663291302,0.22027361964251868,False,False,False,True
punto_fijo,Fp2,20,40.0,44.0,426.0583981550825,55.30851015284243,2918.3020147113675,192.6364388754671,0.06600976797616324,156.800752574345,0.0537301320370206,1268.9416479749375,0.4348219072522695,909.726568359604,0.3117314670563937,False,False,False,True
punto_fijo,Fp2,21,42.0,46.0,426.0583981550825,55.1147112102883,2674.10206254878,186.2902471085998,0.06966459871432135,201.5517152852076,0.07537173622053214,1258.6244237161227,0.4706717972149813,629.7975163070602,0.23551738175123285,False,False,False,True
punto_fijo,Fp2,22,44.0,48.0,347.4251962262749,53.60766188664782,2845.376815775245,195.76425836441365,0.06880082008086376,220.41320869631033,0.07746362712815491,1372.875936665937,0.482493541472076,508.8240142253709,0.17882482608432226,False,False,False,True
punto_fijo,Fp2,23,46.0,50.0,425.534500158364,57.78378528216059,3116.6902662851926,244.7055777429624,0.07851456411632102,347.77179203979296,0.11158368728577732,1378.4714140787378,0.44228694425954257,462.6914145283533,0.1484560142319945,False,False,False,True
punto_fijo,Fp2,24,48.0,52.0,425.534500158364,56.14267677176392,2780.701062673522,186.82412776631642,0.06718598064140459,245.64308257596107,0.08833854378427361,1513.5575388650666,0.5443078938553171,439.934509532252,0.15820992606421141,False,False,False,True
punto_fijo,Fp2,25,50.0,54.0,479.8346406863052,61.311800761163795,3372.8989959832375,228.73123895878356,0.06781443477292917,292.7585193012564,0.08679729800681862,1565.4828027380622,0.46413568998134397,782.579687842474,0.23201990002500603,False,False,False,True
punto_fijo,Fp2,26,52.0,56.0,479.8346406863052,66.87513729991673,4188.397896812483,115.47077864510847,0.02756919984440489,383.32575633658575,0.09152085493794895,2148.818951718494,0.5130407866343885,788.3727358904712,0.1882277556510212,False,False,False,True
punto_fijo,Fp2,27,54.0,58.0,364.1409859772545,65.27396732641908,4377.057761143388,163.54135945310614,0.03736330850027105,293.9959054819095,0.06716747219829035,2204.9464584503166,0.503750825046077,1123.656663347685,0.2567150640146362,False,False,False,True
punto_fijo,Fp2,28,56.0,60.0,421.9128101083371,68.12127564097395,4244.096442974975,144.19624828015088,0.03397572374181817,306.0339087478103,0.07210814194723869,2372.369321559622,0.5589810112554059,1132.1431463646932,0.26675716765076557,False,False,False,True
punto_fijo,Fp2,29,58.0,62.0,421.9128101083371,70.06580857296801,4200.546613212557,220.21137601486413,0.0524244571699795,211.69759575611621,0.05039763041558322,2612.9432939935004,0.6220483985999943,924.5722186365731,0.22010759640861716,False,False,False,True
parpadeo,Fp1,0,0.0,4.0,1008.7783183860292,197.35413620169055,29105.21421806876,4737.580657417244,0.16277429267213964,1455.5974801280322,0.05001157075230819,2742.6512659713194,0.0942322995949179,709.6127705865302,0.02438094993116377,False,False,False,False
parpadeo,Fp1,1,2.0,6.0,1090.9573434251163,253.53800860086008,54875.45762606428,5587.478540692855,0.10182108327492037,1357.8395929785677,0.024744023133824993,1716.697231962161,0.03128351555006948,731.7456115895694,0.013334660761753924,False,False,False,False
